Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-05-18,0.28519466992627335,0.2869550308842263,0.2781532966085598,0.27991363406181335,174720000,0.0,0.0
1988-05-19,0.278153295828475,0.2799136332767916,0.2711110998660319,0.2746317982673645,249760000,0.0,0.0
1988-05-20,0.276392163242866,0.278153323531062,0.2728714644908905,0.2728714644908905,81737600,0.0,0.0
1988-05-23,0.27111113218011534,0.27375165041966676,0.2631887783015881,0.2675904333591461,183680000,0.0,0.0
1988-05-24,0.26759040018135777,0.274631796950253,0.2658300627414835,0.2737516164779663,142240000,0.0,0.0
1988-05-25,0.2746317691376703,0.2799136035868628,0.27111107110977173,0.27111107110977173,135520000,0.0,0.0
1988-05-26,0.2711111320801421,0.2781533288793568,0.2711111320801421,0.27727314829826355,85780800,0.0,0.0
1988-05-27,0.2763921364908268,0.28167399501976625,0.27463179903757323,0.27991363406181335,83955200,0.0,0.0
1988-05-31,0.2816738501009943,0.29223671555519104,0.27991349004873145,0.29223671555519104,123200000,0.0,0.0
1988-06-01,0.2922368625361853,0.29927825927734375,0.2904765251032453,0.29927825927734375,229600000,0.0,0.0
1988-06-02,0.29575756560651206,0.2992782640330371,0.2922368671799871,0.29399722814559937,133280000,0.0,0.0
1988-06-03,0.2939972278309919,0.3045600987543476,0.2939972278309919,0.3027997612953186,175840000,0.0,0.0
1988-06-06,0.3010385640231354,0.3098410964012146,0.3010385640231354,0.3098410964012146,164640000,0.0,0.0
1988-06-07,0.3080807591594142,0.3186436522839904,0.3063204219176138,0.3098410964012146,311360000,0.0,0.0
1988-06-08,0.3116013733973308,0.32040390340951785,0.30984101312397305,0.3168832063674927,258720000,0.0,0.0
1988-06-09,0.31688326787713833,0.3186436284921965,0.304560038430886,0.3063203990459442,269920000,0.0,0.0
1988-06-10,0.30632045043146283,0.3151229836289261,0.30279975211544113,0.3133618235588074,176960000,0.0,0.0
1988-06-13,0.3168832063674927,0.3186435666408504,0.3116013733973308,0.3168832063674927,148960000,0.0,0.0
1988-06-14,0.3186435401439667,0.3239245735155136,0.3168831800169921,0.3186435401439667,292420800,0.0,0.0
1988-06-15,0.31864368189772546,0.3221643567085266,0.3168833209876261,0.3221643567085266,122080000,0.0,0.0
1988-06-16,0.31688332103458755,0.3186436819449478,0.3116014861531459,0.3133618235588074,107374400,0.0,0.0
1988-06-17,0.315123051404953,0.315123051404953,0.3116015531717761,0.315123051404953,95390400,0.0,0.0
