"stamp","symbol","open","high","low","close","volume"
"2022-05-27 07:30:00","AAPL","144","144.02","144","144.02","1449"
"2022-05-27 07:35:00","AAPL","144","144.03","143.97","144.03","7969"
"2022-05-27 07:40:00","AAPL","144.01","144.14","144.01","144.14","4426"
"2022-05-27 07:45:00","AAPL","144.16","144.17","144","144","5757"
"2022-05-27 07:50:00","AAPL","143.98","143.98","143.79","143.82","14975"
"2022-05-27 07:55:00","AAPL","143.8","143.81","143.65","143.65","15944"
"2022-05-27 08:00:00","AAPL","143.75","144.03","143.67","144.0009","71067"
"2022-05-27 08:05:00","AAPL","144.01","144.45","144.01","144.3","67263"
"2022-05-27 08:10:00","AAPL","144.25","144.399","144.17","144.22","28334"
"2022-05-27 08:15:00","AAPL","144.17","144.17","144","144.08","29946"
"2022-05-27 08:20:00","AAPL","144.1","144.25","144.0793","144.2","33254"
"2022-05-27 08:25:00","AAPL","144.2","144.2199","144.03","144.0999","15231"
"2022-05-27 08:30:00","AAPL","144.02","144.7","143.81","144.3","143012"
"2022-05-27 08:35:00","AAPL","144.385","145.0499","144.35","145.01","183651"
"2022-05-27 08:40:00","AAPL","145.05","145.13","144.88","145.02","110277"
"2022-05-27 08:45:00","AAPL","144.9999","145.58","144.99","145.45","166262"
"2022-05-27 08:50:00","AAPL","145.46","145.48","145.1259","145.3399","83921"
"2022-05-27 08:55:00","AAPL","145.28","145.4","145.15","145.36","70129"
"2022-05-27 09:00:00","AAPL","145.39","145.65","145.35","145.39","172003"
"2022-05-27 09:05:00","AAPL","145.42","145.53","145.23","145.29","86996"
"2022-05-27 09:10:00","AAPL","145.2201","145.47","145.2201","145.32","45404"
"2022-05-27 09:15:00","AAPL","145.32","145.48","145.14","145.2","92973"
"2022-05-27 09:20:00","AAPL","145.2","145.39","145.02","145.1","105517"
"2022-05-27 09:25:00","AAPL","145.11","145.38","145","145.38","81681"
"2022-05-27 09:30:00","AAPL","145.39","146.23","145.26","145.79","3665963"
"2022-05-27 09:35:00","AAPL","145.79","146.6","145.79","146.4578","2176114"
"2022-05-27 09:40:00","AAPL","146.459","146.66","145.31","145.9601","2225092"
"2022-05-27 09:45:00","AAPL","145.97","147.11","145.94","146.9624","2497077"
"2022-05-27 09:50:00","AAPL","146.97","147.045","146.5","146.77","1883125"
"2022-05-27 09:55:00","AAPL","146.76","147.32","146.725","147.06","1487634"
"2022-05-27 10:00:00","AAPL","147.05","147.8","146.92","147.558","1981761"
"2022-05-27 10:05:00","AAPL","147.54","147.7349","147.29","147.62","1601310"
"2022-05-27 10:10:00","AAPL","147.61","148.405","147.57","148.295","2152161"
"2022-05-27 10:15:00","AAPL","148.2982","148.66","148.13","148.485","1739421"
"2022-05-27 10:20:00","AAPL","148.48","148.52","148.15","148.245","1412109"
