,country,no_profiles,avg_profile_len,std_profile_len,female_ratio,avg_monthly_duration,total_monthly_duration,std_monthly_duration,avg_high_agreement,avg_low_agreement,avg_views,total_views,std_views,avg_questions,std_questions,total_questions,avg_answers,std_answers,total_answers,avg_comments,std_comments,total_comments,lon,lat
76,French Polynesia,61,14.533333333333333,28.40802865307663,0.19607843137254902,2.765081967213113,168.6699999999999,3.2069646204008446,63.90163934426229,5.836065573770492,51.950819672131146,3169,212.92858162848154,6.956521739130435,7.283095376340306,160.0,44.35,136.38385264817055,887.0,79.18181818181819,251.27382831591675,1742.0,-146.0490931059517,-16.03442485
77,French Southern Territories,2,69.5,96.87362902255701,0.0,1.99,3.98,2.7718585822512662,262.5,240.5,379.0,758,534.5727265770299,19.0,,19.0,678.0,,678.0,1059.0,,1059.0,69.62275903679347,-49.237441950000004
78,Gabon,143,9.857142857142858,12.9320568835006,0.15178571428571427,1.2581118881118887,179.91000000000008,1.6808829634119868,1.2657342657342658,0.006993006993006993,2.132867132867133,305,9.88400170017097,3.6956521739130435,8.232059184613066,85.0,2.6923076923076925,3.6374124361651967,35.0,8.277777777777779,17.132032452330705,149.0,11.6899699,-0.8999695
79,Gambia,160,15.15625,24.81429007518619,0.15315315315315314,1.2243749999999993,195.8999999999999,1.9303063554229327,1.3625,0.0,2.59375,415,9.638299437023933,4.666666666666667,6.598502094040546,140.0,3.238095238095238,2.9309514138716444,68.0,12.083333333333334,16.862401362503057,290.0,-15.4900464,13.470062
80,Georgia,2359,12.178528347406514,26.86829520463856,0.20354963948973934,2.1957651547265877,5179.81000000002,2.7094906702307955,41.58456973293769,2.3103009749894023,34.81136074607885,82120,323.96102280731174,9.71837708830549,35.74848313686086,8144.0,20.48148148148148,85.53685337644596,12719.0,37.186351706036746,148.20680909758482,28336.0,-83.1137366,32.3293809
81,Germany,127043,12.190188766849001,28.152856490571185,0.14597232752084913,3.01323465283454,382810.37000005844,3.2039187608817525,52.28379367615689,9.207292019237581,58.511818832993555,7433517,678.2033284835578,7.609059292560862,20.67550579323798,448516.0,28.29050301730187,163.56904083645802,1411102.0,59.67873537554702,450.4763473806552,3341114.0,10.4234469,51.0834196
82,Ghana,5617,18.053686471009307,31.795223343232575,0.1717695900363259,1.338816094000377,7520.130000000117,1.9924996392733603,6.129962613494748,0.41534627025102366,6.604949261171444,37100,65.27937766144156,4.870899470899471,13.098722675769,4603.0,7.606613454960091,24.10278791833071,6671.0,17.734146341463415,63.46090914013024,14542.0,-1.0800271,8.0300284
83,Gibraltar,112,22.546875,42.919241138685514,0.1523809523809524,3.1975892857142854,358.12999999999994,3.371086986334486,118.875,2.919642857142857,106.99107142857143,11983,608.0927278674923,16.604166666666668,57.265243100644284,797.0,55.04347826086956,182.76505337262782,2532.0,98.08163265306122,343.9194937732942,4806.0,-5.3541295,36.140807
84,Greece,14386,13.545167593566813,32.064782584504535,0.11814238326103597,2.537305713888502,36501.67999999999,2.9106198030282817,36.00326706520228,5.271096899763659,33.66606422911163,484320,335.58312124833594,6.904904728299224,20.16429668277279,39137.0,22.428639732249582,116.40334817570182,93819.0,45.82312666413085,616.532059807097,240938.0,21.9877132,38.9953683
85,Greenland,63,13.56,19.433819319252027,0.17391304347826086,2.4966666666666657,157.28999999999994,3.2082851413780378,19.07936507936508,1.3650793650793651,24.3015873015873,1531,105.67595553428885,7.266666666666667,9.479318080134657,218.0,18.05263157894737,48.041039960307245,343.0,46.73076923076923,126.20128610828264,1215.0,-42.8125967,77.6192349
